id,name,val,lat,lon
35071,FORMOSA UTILITY VENTURE LTD,1701500,28.6917,-96.5417
18592,HSIEH-HO,1702700,25.128251,121.7419
31801,NOVO-SVERDLOVSK,1706600,56.8575,60.6125
28358,MIDLOTHIAN ENERGY FACILITY,1714500,32.4302,-97.0537
20418,CHONGQING WEST,1718000,29.5627778,106.5527778
44374,TALKHA,1719000,31.053895,31.377866
11657,EAST RIVER,1721300,40.7281,-73.9742
23976,LABUHAN ANGIN,1721700,1.7176,98.7265
50726,YOKKAICHI,1724800,34.9666667,136.6166667
3055,BALLYLUMFORD,1725500,54.85,-5.8166667
36846,RAY D NIXON,1726800,38.6306,-104.7056
46587,TUNCBILEK,1727500,39.6205556,29.465
50676,YICHUAN,1728500,33.45,114.9
20568,PULLIAM,1728500,44.5397,-88.0083
38027,ROSTOCK,1730000,54.14282177,12.13287489
15903,GRESIK,1730200,-7.1538889,112.6561111
24504,LARES,1731200,40.150852,-8.861786
45280,THOMAS PLAYFORD,1732400,-32.5,137.7666667
7363,CASTELLON,1740000,39.957654,-0.00573
40850,SHANDONG LUXI,1740500,36.4438889,115.9647222
712,AL-HIDD,1746400,26.245556,50.654167
16816,HANNOVER,1750000,52.42029118,9.647600323
2201,KAHRAMA,1754800,35.847729,-0.314678
17463,HMP&L STATION TWO HENDERSON,1756600,37.6472,-87.5028
10734,DHEKELIA,1760000,34.980143,33.746236
37761,ROCKSAVAGE,1760000,53.31536,-2.725563
20398,JINSHAN-1,1760100,30.920248,121.251994
35075,POINT LISAS,1763800,10.3666667,-61.4833333
58979,JINCHUAN WORKS,1768100,38.4952778,102.1738889
2322,ASIR CENTRAL,1771500,19,42
37875,ROMAG-TERMO,1780000,44.675444,22.688333
1755,ANYANG HENAN,1780900,36.0994444,114.3288889
40581,SEOUL SOUTH,1781600,37.56825614,126.9778347
45603,TOBATA,1782000,33.8833333,130.8333333
59844,UTHMANIYAH,1783400,25.25,49.25
42206,SOHAR ALUMINUM,1783800,24.428056,56.611111
13494,FISK STREET,1785100,41.8508,-87.6533
39665,SANTAN,1787100,33.3333,-111.751
17682,HIGH DESERT POWER PLANT,1789700,34.5953,-117.3647
47817,VASILIKOS EAC,1790000,34.728469,33.289753
665,AKZO DELESTO,1790000,53.32045,6.95605
44042,SYKTYVKAR PLANT,1793000,61.676422,50.809941
22698,KOLUBARA,1793200,44.4675,20.284444
8462,CHITA-2,1794400,54.6044,60.2223
70858,CAPE FEAR,1796400,35.595,-79.0492
9625,CRAIOVA II,1800000,44.34735,23.81512
24069,EGBIN,1800800,6.6154825,3.508673
50338,XIMI,1804500,34.7577778,113.6486111
28546,MINAMI-YOKOHAMA,1804600,35.447778,139.6425
40975,SHELDON,1809700,40.5589,-96.7842
65925,JIGANG,1809900,36.6683333,116.9972222
45047,TERMOANDES,1811100,-24.734887,-65.075662
36918,RED HAWK,1812700,33.33,-112.84
31820,NOVOSIBIRSK-3,1816300,55.0415,82.9346
47734,VANKORSKOYE FIELD,1816600,53.9477778,105.9263889
46234,TRENTON (NS),1817200,45.6202,-62.6498
20806,KAILI,1818300,26.5858333,107.9797222
20157,J C WEADOCK,1818900,43.6425,-83.8431
1942,ARCOS IBERDROLA,1820000,36.675206,-5.815155
